window_id,link_type,source_id,target_id,source_domain,target_domain,start_index,end_index_exclusive,start_time_utc,end_time_utc,duration_seconds,sample_count,mean_range_km,min_range_km,max_range_km,transmission_rate_mbps,generation_config_sha256,max_elevation_deg,mean_elevation_deg,azimuth_at_start_deg,azimuth_at_end_deg,boundary_source
SGL-000051,SGL,os01,gs01,observation,ground,1201,1216,2025-01-01T10:00:25.439171Z,2025-01-01T10:07:50.155367Z,444.716195822,15,1738.769287109,1492.487792969,2134.118164062,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,22.413244247,17.341938019,214.729263306,314.572357178,skyfield_find_events
SGL-000052,SGL,os01,gs01,observation,ground,2640,2659,2025-01-01T21:59:44.812032Z,2025-01-01T22:09:21.644550Z,576.832518101,19,1309.474731445,723.724365234,2092.079589844,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,81.299591064,36.373050690,10.677084923,197.855468750,skyfield_find_events
SGL-000053,SGL,os01,gs02,observation,ground,1002,1016,2025-01-01T08:20:32.539470Z,2025-01-01T08:27:37.340223Z,424.800753117,14,1756.100341797,1536.148193359,2133.087890625,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,21.279869080,16.887027740,114.397361755,22.155775070,skyfield_find_events
SGL-000054,SGL,os01,gs02,observation,ground,1196,1212,2025-01-01T09:57:32.826629Z,2025-01-01T10:05:45.195755Z,492.369126081,16,1584.478149414,1269.240112305,2082.670898438,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,28.974058151,20.977914810,205.437545776,321.118408203,skyfield_find_events
SGL-000055,SGL,os01,gs02,observation,ground,2645,2664,2025-01-01T22:02:14.737793Z,2025-01-01T22:11:48.162042Z,573.424248934,19,1324.916381836,747.316955566,2088.750000000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,72.187088013,34.694732666,7.126625538,200.636077881,skyfield_find_events
SGL-000056,SGL,os01,gs03,observation,ground,65,83,2025-01-01T00:32:15.324540Z,2025-01-01T00:41:06.685528Z,531.360988140,18,1511.456665039,1078.107910156,2143.885009766,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,38.103664398,24.462299347,356.881011963,224.284423828,skyfield_find_events
SGL-000057,SGL,os01,gs03,observation,ground,1205,1222,2025-01-01T10:02:21.209575Z,2025-01-01T10:10:42.646726Z,501.437150955,17,1575.635620117,1205.788085938,2107.416503906,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,31.600517273,21.695312500,128.202468872,7.035461903,skyfield_find_events
SGL-000058,SGL,os01,gs03,observation,ground,1401,1417,2025-01-01T11:40:09.732079Z,2025-01-01T11:48:26.604540Z,496.872461081,16,1578.873168945,1267.769775391,2042.548461914,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,29.210252762,21.229881287,206.053833008,322.315673828,skyfield_find_events
SGL-000059,SGL,os01,gs03,observation,ground,2836,2855,2025-01-01T23:37:45.873193Z,2025-01-01T23:47:18.495716Z,572.622523069,19,1343.903930664,782.338562012,2100.884033203,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,64.849288940,33.082798004,19.593088150,183.191055298,skyfield_find_events
SGL-000060,SGL,os01,gs04,observation,ground,75,86,2025-01-01T00:37:18.459890Z,2025-01-01T00:42:39.821656Z,321.361766100,11,1972.486206055,1855.334350586,2143.778808594,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,15.051869392,13.149796486,324.221313477,259.149658203,skyfield_find_events
SGL-000061,SGL,os01,gs04,observation,ground,1198,1213,2025-01-01T09:58:57.310138Z,2025-01-01T10:06:23.938494Z,446.628355980,15,1702.172485352,1441.879272461,2134.267333984,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,23.509361267,17.950222015,122.692886353,21.577339172,skyfield_find_events
SGL-000062,SGL,os01,gs04,observation,ground,1393,1409,2025-01-01T11:36:25.231144Z,2025-01-01T11:44:10.830510Z,465.599365950,16,1677.030517578,1384.725341797,2120.409423828,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,25.081102371,18.570438385,208.027801514,317.303466797,skyfield_find_events
SGL-000063,SGL,os01,gs04,observation,ground,2843,2862,2025-01-01T23:41:24.230407Z,2025-01-01T23:50:48.309424Z,564.079016924,19,1366.521118164,811.697753906,2144.746337891,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,59.532657623,31.435129166,3.328160286,206.393386841,skyfield_find_events
SGL-000064,SGL,os02,gs01,observation,ground,1000,1017,2025-01-01T08:19:51.788615Z,2025-01-01T08:28:22.450057Z,510.661442041,17,1533.758056641,1152.857666016,2108.768310547,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,33.763031006,22.862989426,132.637924194,8.087180138,skyfield_find_events
SGL-000065,SGL,os02,gs01,observation,ground,1197,1212,2025-01-01T09:58:08.643413Z,2025-01-01T10:05:44.297751Z,455.654337883,15,1701.567993164,1449.139648438,2101.100341797,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,23.562011719,18.134294510,214.909225464,316.923034668,skyfield_find_events
SGL-000066,SGL,os02,gs01,observation,ground,2636,2655,2025-01-01T21:57:34.169973Z,2025-01-01T22:07:11.722906Z,577.552933216,19,1306.361694336,719.471923828,2105.809814453,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,84.184501648,36.809635162,11.670623779,196.071228027,skyfield_find_events
SGL-000067,SGL,os02,gs02,observation,ground,997,1011,2025-01-01T08:18:29.916558Z,2025-01-01T08:25:21.484070Z,411.567512035,14,1796.498901367,1582.685913086,2156.913330078,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,20.192995071,16.085361481,116.159934998,25.975748062,skyfield_find_events
SGL-000068,SGL,os02,gs02,observation,ground,1191,1208,2025-01-01T09:55:17.679706Z,2025-01-01T10:03:38.742367Z,501.062660933,17,1582.459838867,1223.068115234,2118.696777344,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,30.678632736,21.271957397,201.533462524,323.411285400,skyfield_find_events
SGL-000069,SGL,os02,gs02,observation,ground,2641,2660,2025-01-01T22:00:03.912552Z,2025-01-01T22:09:38.814363Z,574.901810884,19,1316.787109375,735.644836426,2124.181396484,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,75.671791077,35.516452789,8.216233253,198.652450562,skyfield_find_events
SGL-000070,SGL,os02,gs03,observation,ground,61,78,2025-01-01T00:30:03.228898Z,2025-01-01T00:38:59.554735Z,536.325836897,17,1448.295898438,1042.876464844,2027.346923828,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,40.049484253,26.157690048,356.830749512,224.480545044,skyfield_find_events
SGL-000071,SGL,os02,gs03,observation,ground,1201,1217,2025-01-01T10:00:15.023536Z,2025-01-01T10:08:29.924855Z,494.901319027,16,1568.453735352,1242.586669922,2072.996582031,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,30.198299408,21.623491287,125.762870789,9.976479530,skyfield_find_events
SGL-000072,SGL,os02,gs03,observation,ground,1396,1413,2025-01-01T11:37:54.914987Z,2025-01-01T11:46:18.934904Z,504.019917011,17,1583.333007812,1226.268676758,2127.269042969,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,30.718856812,21.362051010,202.415313721,324.433776855,skyfield_find_events
SGL-000073,SGL,os02,gs03,observation,ground,2832,2851,2025-01-01T23:35:36.295582Z,2025-01-01T23:45:06.929702Z,570.634119987,19,1356.743408203,803.296325684,2137.867675781,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,61.425453186,32.215995789,20.952688217,181.962966919,skyfield_find_events
SGL-000074,SGL,os02,gs04,observation,ground,70,82,2025-01-01T00:34:59.220815Z,2025-01-01T00:40:41.068689Z,341.847874165,12,1949.657226562,1808.932373047,2179.383300781,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,15.883294106,13.550217628,328.274688721,256.495208740,skyfield_find_events
SGL-000075,SGL,os02,gs04,observation,ground,1194,1209,2025-01-01T09:56:53.814650Z,2025-01-01T10:04:08.749768Z,434.935117960,15,1740.878906250,1486.536010742,2117.314941406,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,22.342796326,17.133567810,120.030258179,21.123802185,skyfield_find_events
