window_id,link_type,source_id,target_id,source_domain,target_domain,start_index,end_index_exclusive,start_time_utc,end_time_utc,duration_seconds,sample_count,mean_range_km,min_range_km,max_range_km,transmission_rate_mbps,generation_config_sha256,selection_rule,symmetrization_rule,selected_by_source,earth_clearance_min_km,boundary_source
IDL-000011,IDL,cs01,os01,communication,observation,643,738,2025-01-01T05:21:30.000000Z,2025-01-01T06:09:00.000000Z,2850.000000000,95,42490.277343750,41485.601562500,43775.890625000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,377.725280762,sampled
IDL-000012,IDL,cs01,os01,communication,observation,808,881,2025-01-01T06:44:00.000000Z,2025-01-01T07:20:30.000000Z,2190.000000000,73,42324.218750000,40932.144531250,44770.570312500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,1.364803076,sampled
IDL-000013,IDL,cs01,os01,communication,observation,927,930,2025-01-01T07:43:30.000000Z,2025-01-01T07:45:00.000000Z,90.000000000,3,44693.250000000,44617.417968750,44768.140625000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,os01,5.298995495,sampled
IDL-000014,IDL,cs01,os01,communication,observation,994,1058,2025-01-01T08:17:00.000000Z,2025-01-01T08:49:00.000000Z,1920.000000000,64,40676.687500000,38397.816406250,44716.285156250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,16.390499115,sampled
IDL-000015,IDL,cs01,os01,communication,observation,1188,1249,2025-01-01T09:54:00.000000Z,2025-01-01T10:24:30.000000Z,1830.000000000,61,39317.250000000,36200.714843750,44619.656250000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,55.414398193,sampled
IDL-000016,IDL,cs01,os01,communication,observation,1375,1444,2025-01-01T11:27:30.000000Z,2025-01-01T12:02:00.000000Z,2070.000000000,69,38305.832031250,35124.578125000,44593.078125000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,65.631538391,sampled
IDL-000017,IDL,cs01,os01,communication,observation,1544,1641,2025-01-01T12:52:00.000000Z,2025-01-01T13:40:30.000000Z,2910.000000000,97,38445.570312500,35511.121093750,44631.640625000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,49.064842224,sampled
IDL-000018,IDL,cs01,os01,communication,observation,1736,1840,2025-01-01T14:28:00.000000Z,2025-01-01T15:20:00.000000Z,3120.000000000,104,39719.234375000,37236.800781250,44651.953125000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,41.187755585,sampled
IDL-000019,IDL,cs01,os01,communication,observation,1931,2052,2025-01-01T16:05:30.000000Z,2025-01-01T17:06:00.000000Z,3630.000000000,121,41666.484375000,39747.398437500,44456.890625000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,129.077301025,sampled
IDL-000020,IDL,cs01,os01,communication,observation,2127,2222,2025-01-01T17:43:30.000000Z,2025-01-01T18:31:00.000000Z,2850.000000000,95,42925.941406250,41722.660156250,44010.066406250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,285.156951904,sampled
